movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
5358,Loving Pablo (2018),2018,63," Spanish, Castilian",4667008,17535962,ES
5359,Pokémon the Movie: Genesect and the Legend Awakened (2013),2013,66,Japanese,71200000,32300000,JP
5360,Stitch! The Movie (2003),2003,65,English,128200000,875410458,US
5361,Blair Witch (2016),2016,52,English,10000000,38985577,AU
5362,Slumdog Millionaire (2008),2008,77,English,14000000,383825427,AU
5363,Deep Blue Sea 2 (2018),2018,52,English,156000000,199768995,US
5364,Waiting for Bojangles (2022),2022,75,French,90200000,693402193,AU
5365,Friend's Young Mom (2019),2019,30,Korean,15541000,38139010,KR
5366,The Forest (2016),2016,52,English,10000000,40749230,US
5367,Spartacus (2004),2004,69,English,12000000,60000000,US
5368,Scooby-Doo! Return to Zombie Island (2019),2019,70,English,92500000,607457769,AU
5369,BanG Dream! FILM LIVE 2nd Stage (2021),2021,68,Japanese,22360900,283558,JP
5370,Ghost Lab (2021),2021,65,Thai,79180000,534341766,TH
5371,"sex, lies, and videotape (1989)",1989,69,English,1200000,24741667,AU
5372,The Last Castle (2001),2001,71,English,60000000,20541668,AU
5373,The Specialist (1995),1995,59,English,45000000,170362581,AU
5374,Sunset Boulevard (1950),1950,84,English,1752000,5000000,AU
5375,Crimson Peak (2015),2015,66,English,55000000,74966854,AU
5376,The Mad Women's Ball (2021),2021,71,French,128200000,538366666,FR
5377,Daddy Day Care (2003),2003,59,English,60000000,164285587,AU
5378,High Plains Drifter (1973),1973,74,English,5500000,15700000,AU
5379,Hey Arnold! The Jungle Movie (2017),2017,77,English,123000000,945719756,US
5380,Cinderella Man (2005),2005,75,English,88000000,105021488,AU
5381,Showdown in Little Tokyo (1992),1992,64,English,8000000,2275557,AU
5382,SuperFly (2018),2018,68,English,16000000,20545116,US
5383,Labyrinth (1986),1986,73,English,25000000,12729917,AU
5384,Marui Video (2023),2023,37,Korean,58670000,385960548,KR
5385,The Old Guard (2020),2020,72,English,70000000,0,AU
5386,A Thousand Words (2012),2012,61,English,40000000,20790486,AU
5387,The Scorpion King 2: Rise of a Warrior (2008),2008,46,English,116500000,577617472,AU
5388,I Feel Pretty (2018),2018,64,English,32000000,91444095,AU
5389,The Awakening (2012),2012,64,English,4900000,6924321,AU
5390,Mi Prima La Sexóloga (2016),2016,71," Spanish, Castilian",15000,115035658,MX
5391,All About Lily Chou-Chou (2001),2001,73,Japanese,117000000,381900993,JP
5392,RoboCop 3 (1993),1993,47,English,22000000,10696210,US
5393,Harriet (2020),2020,74,English,17000000,44035587,AU
5394,Case Closed: The Crimson Love Letter (2017),2017,65,Japanese,52948531,63147576,JP
5395,The Hills Run Red (2009),2009,57,English,92400000,311918067,US
5396,Smallfoot (2018),2018,68,English,80000000,214244195,AU
5397,I Am a Hero (2016),2016,73,Japanese,138000000,466087385,JP
5398,Cruel Intentions 2 (2001),2001,49,English,167400000,997517367,US
5399,Sanctuary (2023),2023,0,English,102000000,175269998,US
5400,A Taxi Driver (2017),2017,81,Korean,12820005,81927980,KR
5401,Porky's (1984),1984,64,English,4000000,109492484,AU
5402,"Jeremy Renner: The Diane Sawyer Interview - A Story of Terror, Survival and Triumph (2023)",2023,0,English,141600000,175269998,US
5403,Pokémon: Mewtwo Returns (2001),2001,66,Japanese,133000000,492378636,AU
5404,¿Y cómo es él? (2022),2022,75," Spanish, Castilian",90200000,668589731,MX
5405,The Chosen: Season 3  - Episodes 1 & 2 (2022),2022,100,English,201000000,1569323843,US
5406,14 Peaks: Nothing Is Impossible (2021),2021,74,English,79500000,708023892,US
5407,Star Trek: The Captains' Summit (2009),2009,74,English,79500000,708023892,US
5408,Mune: Guardian of the Moon (2015),2015,73,French,17000000,15730665,FR
5409,Sister's Younger Husband (2016),2016,56,Korean,115000000,823771524,KR
5410,The Last Emperor (1987),1987,76,English,25000000,44005435,AU
5411,Danger Close: The Battle of Long Tan (2019),2019,69,English,23934823,2078370,AU
5412,Book of Dragons (2011),2011,66,English,75500000,469463342,US
5413,Hotel Rwanda (2005),2005,77,English,17500000,36520451,AU
5414,City of Ember (2008),2008,63,English,38000000,17831558,AU
5415,American Me (1992),1992,74,English,131000000,392456482,US
5416,"tick, tick... BOOM! (2021)",2021,77,English,119800000,552113772,AU
5417,The Number 23 (2007),2007,64,English,32000000,77593167,AU
5418,Wedding Daze (2007),2007,55,English,70800000,591573175,AU
5419,The Name of the Rose (1987),1987,75,English,18000000,77200000,AU
5420,Down Periscope (1996),1996,63,English,110000000,271669045,AU
5421,The Waterboy (1999),1999,60,English,23000000,190191646,AU
5422,ACA 155: Karginov vs. Silva (2023),2023,0,Russian,167540000,175269998,BY
5423,Tall Girl (2019),2019,64,English,146800000,185673446,US
5424,Sister of the Groom (2020),2020,60,English,51400000,229180648,US
5425,Free Willy 3: The Rescue (1997),1997,63,English,96200000,474833112,US
5426,Room Salon College Girls 3 (2020),2020,50,Korean,140400000,597705817,KR
5427,Monty Python and the Holy Grail (1975),1975,78,English,400000,5028948,AU
5428,Star Trek II: The Wrath of Khan (1982),1982,75,English,12000000,95800000,AU
5429,Black as Night (2021),2021,56,English,130200000,390377803,AU
5430,The Last Boy Scout (1992),1992,68,English,29000000,59509925,AU
5431,Re/Member (2022),2022,71,Japanese,144600000,356955330,JP
5432,Capernaum (2019),2019,82,Arabic,4000000,64978931,AU
5433,Battle for Sevastopol (2015),2015,74,Russian,5000000,20360625,RU
5434,Prey (2009),2009,57,English,65000000,0,GB
5435,Cold Blood (2019),2019,54,English,2700000,641910,FR
5436,Champions (2019),2019,76," Spanish, Castilian",4920975,20121318,AU
5438,Police Academy 6: City Under Siege (1989),1989,51,English,15000000,33200000,AU
5439,Aliens in the Attic (2009),2009,57,English,45000000,59551283,US
5440,Oppenheimer (2023),2023,0,English,100000000,28329750,AU
5441,Palm Trees in the Snow (2015),2015,74," Spanish, Castilian",11332619,11229499,ES
5442,Summer Wars (2010),2010,75,Japanese,1065504,18434328,AU
5443,Dangerous Beauty (1998),1998,71,English,25536412,4553271,US
5444,The Night Parade (2013),2013,65,French,66400000,489432270,FR
5445,Deep Blue Sea (1999),1999,60,English,60000000,165048228,AU
5446,Crimson Tide (1995),1995,72,English,55000000,159387195,AU
5447,The Hitchhiker's Guide to the Galaxy (2005),2005,67,English,45000000,102746214,AU
5448,Messengers 2: The Scarecrow (2009),2009,53,English,95000000,338365977,US
5449,Clear and Present Danger (1994),1994,66,English,62000000,207500000,AU
5450,Over the Top (1987),1987,64,English,25000000,16057580,AU
5451,Dallas Buyers Club (2014),2014,79,English,5000000,60611845,AU
5452,Miss Sloane (2017),2017,75,English,18000000,7768259,AU
5453,El mesero (2021),2021,80," Spanish, Castilian",102200000,696582478,MX
5454,"Sex, Party and Lies (2011)",2011,45," Spanish, Castilian",1243777,5723917,AU
5455,Any Given Sunday (2000),2000,68,English,60000000,100230832,AU
5456,The Walking Deceased (2015),2015,53,English,2000000,43,US
5457,Psycho (1998),1998,51,English,20000000,37226218,US
5458,Ordinary People (2018),2018,68,Korean,6200000,52302978,KR
5459,Murder at Yellowstone City (2022),2022,56,English,111200000,278054690,AU
5460,BlacKkKlansman (2018),2018,75,English,15000000,93411426,AU
5461,The Howling (1981),1981,66,English,1000000,17985130,US
5462,Photocopier (2022),2022,70,Indonesian,139800000,571361977,ID
5463,Species II (1998),1998,51,English,35000000,19165560,AU
5464,Confessions of a Hitman (2022),2022,66,French,48540000,367960476,CA
5465,Sweet Home Alabama (2002),2002,64,English,38000000,182365114,AU
5466,Crimson Rivers II: Angels of the Apocalypse (2004),2004,61,French,13600000,40152148,FR
5467,Max (2015),2015,71,English,20000000,43658157,US
5468,Highlander: Endgame (2000),2000,49,English,15000000,12801190,AU
